frame,t,left_ankle_x,left_ankle_y,left_ankle_c,left_elbow_x,left_elbow_y,left_elbow_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_wrist_x,left_wrist_y,left_wrist_c,right_ankle_x,right_ankle_y,right_ankle_c,right_elbow_x,right_elbow_y,right_elbow_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_wrist_x,right_wrist_y,right_wrist_c
0,0.0,0.590323805809021,0.4096201956272125,0.21908746659755707,0.5952072143554688,0.3848477602005005,0.29623106122016907,0.5915629267692566,0.3963053226470947,0.36454951763153076,0.59078449010849,0.39682337641716003,0.283324271440506,0.5918977856636047,0.3695504069328308,0.39452338218688965,0.5901035070419312,0.3893584907054901,0.3383512496948242,0.5841541886329651,0.41079723834991455,0.24032890796661377,0.580781102180481,0.3840862214565277,0.3279778063297272,0.5819128751754761,0.39526569843292236,0.351303368806839,0.5838307738304138,0.3960442841053009,0.3865954875946045,0.5761301517486572,0.3725370168685913,0.33607596158981323,0.5830138921737671,0.3912941515445709,0.3225332796573639
1,0.06665687745623437,0.5903792262077332,0.40946296453475955,0.21780954003334047,0.5952902674674988,0.38425536751747136,0.2928777575492859,0.5911651015281677,0.3955202102661133,0.33667164146900175,0.5909674525260925,0.3963894069194794,0.28183901906013487,0.5919392347335816,0.3691378474235535,0.39409450292587284,0.5901376485824585,0.38864849805831914,0.34131910204887395,0.5843265056610107,0.4106248199939728,0.2388804316520691,0.5810357928276062,0.3834873139858246,0.3266345798969269,0.5821839928627015,0.39459750056266785,0.3459995687007904,0.5841006159782409,0.39547110199928287,0.3827273488044739,0.576776671409607,0.3720131099224091,0.33834050893783574,0.5832326650619507,0.3905754327774048,0.31872298121452336
2,0.13331375491246875,0.5907633805274963,0.40892493009567266,0.21121053457260133,0.5956247639656067,0.38396077394485484,0.2929076981544495,0.5911957669258118,0.39517478346824647,0.3151670891046524,0.5908123302459717,0.3962868070602417,0.27729314446449277,0.5923607301712037,0.3692171585559845,0.36669285178184513,0.5904460453987123,0.3883025014400483,0.3393732631206513,0.5847794175148011,0.4104812705516816,0.23366582870483402,0.581389880180359,0.3832103908061982,0.32643946528434753,0.582561902999878,0.39430648684501646,0.337635612487793,0.5845275020599365,0.39515178680419927,0.3741262149810791,0.5775344634056092,0.37189123868942264,0.34262361168861394,0.5835511159896851,0.39019188404083255,0.3156783246994019
3,0.1999706323687031,0.5910135073661804,0.4085729720592499,0.2072370653152466,0.5956880245208741,0.38364194464683543,0.30088639712333687,0.5910427608489991,0.3946856713294983,0.3065318861007691,0.5908353962898254,0.3961288981437684,0.2823796203136444,0.5927456459999085,0.36894465780258184,0.35861765408515933,0.5905702633857728,0.38775225591659557,0.34218104672431954,0.5850091385841371,0.4102652461528779,0.23469176077842718,0.5815183091163636,0.38263645172119143,0.3271433851718903,0.58270507478714,0.39377071142196657,0.34163812279701233,0.5848303155899048,0.39475399279594425,0.37439646458625797,0.5780757040977479,0.3713794894218445,0.3547059698104859,0.5837207374572755,0.3895568797588349,0.3143398852348328
4,0.2666275098249375,0.5910933385848999,0.40812934656143196,0.2009944979190827,0.5957572653770448,0.3834892879486085,0.294646415758133,0.5908058435440064,0.3943193678855896,0.2900789398670197,0.5906381756782532,0.3959680897235871,0.2744239036560059,0.5928125374794008,0.36890505390167244,0.3607074961185456,0.5907123862266541,0.3875557888507844,0.33823002371788036,0.5851709213256837,0.41006055006980907,0.22826437897682195,0.5816323652267457,0.3825624060630799,0.32312821083068854,0.5828020646095277,0.393432213306427,0.3359165647029877,0.5849437965393067,0.394415521812439,0.36391281394958497,0.5784759498596193,0.37136283097267153,0.35442105755805975,0.5838265727043153,0.38940221266746533,0.31108563671112066
5,0.3332843872811718,0.5912934955406188,0.4077524401283265,0.19773859889030462,0.5959584987068177,0.3832836326408387,0.29751115731239325,0.5907289624786378,0.3939656476020813,0.28325847536087045,0.5906739116287232,0.395714076538086,0.27746196900367737,0.5930493707084656,0.3689471851730347,0.3490814721679688,0.5909533880996705,0.38718045623779307,0.34020521238327034,0.5854292008399964,0.40983951910018934,0.22864382463455207,0.5817313467979432,0.38229734873771676,0.322701032819748,0.5828496991729737,0.39310460562705996,0.33709240026474,0.5851721726608277,0.39413856402397157,0.3602691416645051,0.5787406426239015,0.3712449099826813,0.3609704858112336,0.5839755900764466,0.3889999464893342,0.31028934939384467
6,0.3999412647374062,0.5916039320983886,0.40757550061035164,0.19960347104644782,0.5962471227569581,0.3833754977741242,0.306654260093689,0.5907337975959779,0.39391998130798345,0.2837696969490052,0.5907441759567261,0.3957688587341309,0.28655914119529724,0.5931869454879761,0.3692076083774567,0.3437368159370423,0.5919793671646119,0.3868872592582704,0.32121287083530436,0.5856549813842774,0.40983560739898695,0.2317183653335572,0.5817066650009156,0.38229261975288403,0.32598137526702886,0.5827631258277893,0.3930830838298798,0.3448578303432465,0.5853367060623169,0.3941423212318421,0.3658542791767121,0.5787478813781739,0.37132750957870486,0.36583816099548344,0.5840664083213807,0.38895549780082717,0.31133370696449286
7,0.4665981421936406,0.5916457870132446,0.4073516647838593,0.20033894112567907,0.5962558874069215,0.38324498702354437,0.30981115145263677,0.5904280910858155,0.3936716252861024,0.2818089306339265,0.59061737731781,0.3957042517211915,0.29323483627357483,0.592970216886139,0.36898552391967776,0.3637296644748689,0.5925650816184999,0.3863633092033387,0.3032605035774232,0.5856894671516419,0.4097121362602235,0.2365499826129914,0.5815752681427002,0.38211352738380444,0.325565329543686,0.5825419349121094,0.3928663279228211,0.3489412455062867,0.5852960872810364,0.3939061454795838,0.3722373970161439,0.578507898589325,0.371202985522461,0.36732421984977726,0.5840519209266664,0.38866899733505267,0.30915885447616587
8,0.533255019649875,0.5917615491967774,0.40716859069053657,0.20007247631439215,0.5963788182400513,0.38312133208328253,0.3102001837315369,0.5902212317759705,0.3934431441066743,0.2784303569781495,0.5905753761584472,0.39557598010276807,0.29555819329673766,0.5928830461628725,0.36890201381080634,0.3769715736628724,0.5924540337739564,0.38621173825164806,0.3136572169202424,0.5859189128555299,0.40961595215126045,0.23719205692264564,0.5816180059379579,0.381933173439026,0.3267971983368684,0.5824210820712281,0.392630201229477,0.35045350895729077,0.5853377404341126,0.3937679701537324,0.37409933629119885,0.5784635173005678,0.37110828366065984,0.37042874829536443,0.584154676561432,0.3883750484368135,0.3090991737775422
9,0.5999118971061093,0.5918502131161194,0.4070527145591126,0.19823548618704992,0.5963598490447084,0.38303533041806037,0.30660391381758123,0.5900269076009522,0.3932913476179506,0.27384916496179207,0.5908267092748414,0.3952574807451173,0.29537486550851444,0.5927036012750856,0.3686158189076844,0.3909003087140046,0.5922644040440065,0.38623896858136,0.3195783318629151,0.5859779672366334,0.40960549980580147,0.23754499840619667,0.5815654952578737,0.38191470376739517,0.3267412154527894,0.5822431705886231,0.39254086347343453,0.351910768400879,0.585239837370636,0.39362526126626596,0.37530303575582896,0.5782340229926759,0.37092399403401194,0.36792215694241337,0.5841577141800539,0.3883254028146211,0.30969207782208263
